date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-07-06,100,-100,100,-99,0,-100,-22,-99,3,100,99,-41,100,-76,-97,-99,-100,0,0,100,56,99,100,-99,0,-100,99,100,-94
2023-07-07,100,0,100,-26,0,-100,-97,-98,0,100,0,0,100,-11,-99,-99,-100,0,0,100,0,0,100,-1,0,-100,73,100,-94
2023-07-10,100,0,100,0,0,-26,0,-98,0,100,0,0,0,0,-100,-99,-72,0,0,75,0,0,0,0,0,-100,2,100,0
2023-07-11,100,0,99,0,0,0,-91,-83,0,69,0,0,100,0,-100,-49,0,0,0,100,0,-99,-72,0,0,-100,100,5,0
2023-07-12,0,0,0,0,0,0,-10,0,-18,0,0,0,90,0,-78,0,0,0,0,100,0,0,-87,0,0,-2,0,0,100
2023-07-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0
2023-07-17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,1
2023-07-18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38,0,0,0,-93,0,0,0,2,-99,0
2023-07-19,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,-99,0,0,0,3,-99,100
2023-07-20,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,-99,0,0,0,1,-79,100
2023-07-21,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,-11,0,-99,0,0,0,0,0,100
2023-07-24,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,-72,0,0,0,1,0,100
2023-07-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,16
2023-08-02,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,-65,0,0,0,0,0,0,2,0,100
2023-08-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-47,0,0,0,0,0,0,1,0,92
2023-08-04,56,0,1,0,0,0,0,-40,0,0,0,0,0,0,0,0,0,0,0,-38,0,0,0,0,0,0,-8,0,0
2023-08-07,32,0,0,0,0,0,0,-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023-08-08,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,-23,3,0
2023-08-09,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,0,0,0,0,0,0,-71,0,0
2023-08-10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,3,0
2023-08-11,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-22,0,0,0,0,0,0,-97,0,0
2023-08-14,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-22,0,0,0,0,0,0,-88,0,0
2023-08-15,56,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-99,0,0
2023-08-16,48,0,0,0,0,0,1,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,1,-96
2023-08-17,77,0,0,0,0,0,1,0,-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,-8,-91
2023-08-18,76,0,0,0,0,0,1,0,-98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-96
2023-08-21,66,0,0,0,0,0,0,0,-81,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90
2023-08-22,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,0,1,0,0,0,0,0,0,-99
2023-08-23,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96,0,1,0,0,0,0,0,0,-99
2023-08-24,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27,0,1,0,0,0,0,0,0,-99
2023-08-25,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-98
2023-08-28,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63
2023-08-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-05,100,0,19,0,0,0,0,0,0,0,-68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-06,100,0,86,0,0,0,-4,0,0,0,-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-22,96,0,0,0,0,0,0,0,0,0,-56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-25,100,0,0,48,0,0,0,0,0,0,-90,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-26,100,0,-91,100,0,0,0,0,0,19,-98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-27,100,0,-99,100,0,0,0,0,0,23,-99,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023-09-28,100,0,-99,100,0,0,0,0,0,0,-99,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
2023-09-29,100,0,-99,100,0,0,0,0,0,0,-99,0,1,2,0,0,0,0,0,0,0,-6,0,0,12,0,0,100,0
2023-10-02,100,0,-100,100,0,0,0,0,0,1,-100,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,100,0
