account_value,date,daily_return
1040230.6540653111,2023-07-06,
1033825.6622468869,2023-07-07,-0.006157280400642784
1036915.8074565959,2023-07-10,0.0029890389865085965
1043399.5611565014,2023-07-11,0.006252922034055253
1052097.935310207,2023-07-12,0.008336570646114039
1054625.6931180684,2023-07-13,0.002402587936945366
1056281.2477674214,2023-07-14,0.001569803068668163
1055390.263471889,2023-07-17,-0.0008435104735746712
1072808.7689637658,2023-07-18,0.016504326498688382
1074924.7903482548,2023-07-19,0.001972412461293427
1073999.2391612888,2023-07-20,-0.0008610380886890923
1072175.1207276245,2023-07-21,-0.0016984354989756367
1078904.1696959473,2023-07-24,0.006276072665961641
1081671.229872335,2023-07-25,0.00256469504346013
1077715.148836721,2023-07-26,-0.00365737844028724
1068788.2497011314,2023-07-27,-0.008283171249123922
1079113.3337846885,2023-07-28,0.009660551644766313
1083957.0658060203,2023-07-31,0.004488622158289601
1081515.5433450828,2023-08-01,-0.0022524162053614294
1066383.3045565544,2023-08-02,-0.013991697929486069
1066527.2986806121,2023-08-03,0.00013503036238704524
1058860.9130499589,2023-08-04,-0.007188175717712242
1065174.4359178024,2023-08-07,0.005962561078638684
1058854.84408172,2023-08-08,-0.0059329172978480615
1050791.953939075,2023-08-09,-0.0076147265961061805
1053340.638502712,2023-08-10,0.0024254892265616057
1053820.53224666,2023-08-11,0.0004555921668703
1054584.6124724117,2023-08-14,0.000725057258205819
1048571.3654564663,2023-08-15,-0.0057020052680720745
1045251.350238855,2023-08-16,-0.0031662272373479405
1034069.803982885,2023-08-17,-0.010697471238295786
1034326.1122377793,2023-08-18,0.0002478635909366478
1037007.3159090707,2023-08-21,0.0025922227424874933
1036223.4440262162,2023-08-22,-0.0007558981222492989
1048957.5648628022,2023-08-23,0.012288971949049765
1033373.1772189537,2023-08-24,-0.014857023931074687
1040474.4648861138,2023-08-25,0.006871948898723446
1048543.5200787445,2023-08-28,0.007755168882029206
1063252.8656549547,2023-08-29,0.014028359619356223
1070743.008065233,2023-08-30,0.0070445541716592786
1068764.3223199937,2023-08-31,-0.00184795579362651
1075249.7320795152,2023-09-01,0.006068138338902962
1073925.6954736803,2023-09-05,-0.0012313758993218737
1060682.493722757,2023-09-06,-0.012331581045820772
1051158.1987921845,2023-09-07,-0.008979402400754677
1057376.586285318,2023-09-08,0.0059157484575382835
1062189.1307608734,2023-09-11,0.004551400643797443
1052409.8644072663,2023-09-12,-0.009206709116484801
1054314.590759958,2023-09-13,0.001809871246089445
1066563.2504698883,2023-09-14,0.01161765171162199
1052669.19166633,2023-09-15,-0.013026943125442503
1050983.473911966,2023-09-18,-0.0016013746461940315
1051050.5187117707,2023-09-19,6.37924396234002e-05
1036862.7468154083,2023-09-20,-0.013498658383948703
1025275.0372168671,2023-09-21,-0.011175741084469837
1021894.0884978424,2023-09-22,-0.003297601713002085
1024856.2495195252,2023-09-25,0.002898696699612957
1005987.1975916611,2023-09-26,-0.018411413246209207
1002059.4669032723,2023-09-27,-0.0039043545462524865
1002546.1866113526,2023-09-28,0.0004857193850824615
1003286.7361317078,2023-09-29,0.0007386687319197449
1009843.7906041886,2023-10-02,0.006535573766042413
995123.1082295319,2023-10-03,-0.014577187592399121
