account_rewards,date
330.2950975643471,2023-04-04
320.8189193495782,2023-04-05
-27.357610057806596,2023-04-06
322.5226155774435,2023-04-10
492.69871613685973,2023-04-11
7165.657708230894,2023-04-12
-3507.1556530417874,2023-04-13
2071.3760736503173,2023-04-14
-571.9250169716543,2023-04-17
204.45071360783186,2023-04-18
-3200.9168940428644,2023-04-19
124.81320220173802,2023-04-20
-331.5768913384527,2023-04-21
-11869.107297378476,2023-04-24
3066.9331729125697,2023-04-25
16834.175414831145,2023-04-26
7653.690880294773,2023-04-27
-3164.324570682482,2023-04-28
-7604.612887607538,2023-05-01
-5702.090932147927,2023-05-02
-8092.535972566693,2023-05-03
16214.860260913963,2023-05-04
-2775.3050753669813,2023-05-05
-904.6624039630406,2023-05-08
927.7349525756435,2023-05-09
-4759.622166271205,2023-05-10
-1368.2951743698213,2023-05-11
3059.890858989791,2023-05-12
-6221.493417949649,2023-05-15
15329.561851680628,2023-05-16
6839.447144550388,2023-05-17
-4248.909547454794,2023-05-18
-4016.6395095061744,2023-05-19
-9415.220567873097,2023-05-22
-6925.44573925389,2023-05-23
5871.900365219102,2023-05-24
14340.085182422656,2023-05-25
-2550.1969057578826,2023-05-26
-6430.080759208649,2023-05-30
-1013.2069087219425,2023-05-31
22941.726282234187,2023-06-01
-5361.988013538299,2023-06-02
1462.227348567918,2023-06-05
3797.0976892166073,2023-06-06
660.8108646736946,2023-06-07
-227.10772893147077,2023-06-08
5704.349676162703,2023-06-09
8580.706943313708,2023-06-12
-1352.6536994744092,2023-06-13
15080.317256353446,2023-06-14
-3874.7333786163945,2023-06-15
-11126.949468597304,2023-06-16
-5965.012407621369,2023-06-20
2690.163585994742,2023-06-21
-7839.377539691981,2023-06-22
-2105.824469985906,2023-06-23
9801.969293241506,2023-06-26
-2206.427312450367,2023-06-27
3726.277171943686,2023-06-28
10236.130015461007,2023-06-29
-1872.2345343208872,2023-06-30
557.4662809523288,2023-07-03
