account_value,date,daily_return
1000000.0,2023-04-04,
1000330.2950975643,2023-04-05,0.00033029509756432596
1000651.1140169139,2023-04-06,0.00032071298942137894
1000623.7564068561,2023-04-10,-2.733980872515751e-05
1000946.2790224336,2023-04-11,0.0003223215654359901
1001438.9777385704,2023-04-12,0.0004922329264445136
1008604.6354468013,2023-04-13,0.007155361302604968
1005097.4797937595,2023-04-14,-0.0034772353108293297
1007168.8558674098,2023-04-17,0.002060870826255945
1006596.9308504382,2023-04-18,-0.0005678541523993497
1006801.381564046,2023-04-19,0.0002031108056679276
1003600.4646700032,2023-04-20,-0.0031792933071568275
1003725.2778722049,2023-04-21,0.00012436542886895552
1003393.7009808664,2023-04-24,-0.00033034625972694354
991524.593683488,2023-04-25,-0.011828963332912945
994591.5268564005,2023-04-26,0.0030931488663523687
1011425.7022712317,2023-04-27,0.016925717704471932
1019079.3931515265,2023-04-28,0.007567229963711508
1015915.068580844,2023-05-01,-0.0031050814999769027
1008310.4556932364,2023-05-02,-0.007485480945007117
1002608.3647610885,2023-05-03,-0.005655094519700921
994515.8287885218,2023-05-04,-0.008071482601778479
1010730.6890494358,2023-05-05,0.01630427570033377
1007955.3839740688,2023-05-08,-0.0027458403167485157
1007050.7215701058,2023-05-09,-0.000897522269682427
1007978.4565226814,2023-05-10,0.0009212395490161285
1003218.8343564102,2023-05-11,-0.004721948307001456
1001850.5391820404,2023-05-12,-0.0013639049901287281
1004910.4300410302,2023-05-15,0.0030542388702889944
998688.9366230805,2023-05-16,-0.0061910924913931575
1014018.4984747611,2023-05-17,0.015349686263187445
1020857.9456193115,2023-05-18,0.0067448938602578945
1016609.0360718567,2023-05-19,-0.004162096759581124
1012592.3965623506,2023-05-22,-0.003951016926847628
1003177.1759944775,2023-05-23,-0.00929813476758945
996251.7302552236,2023-05-24,-0.0069035120664387994
1002123.6306204427,2023-05-25,0.00589399263950563
1016463.7158028653,2023-05-26,0.014309696672399896
1013913.5188971075,2023-05-30,-0.0025088912335090585
1007483.4381378988,2023-05-31,-0.006341843401203473
1006470.2312291769,2023-06-01,-0.001005680957490096
1029411.957511411,2023-06-02,0.022794242264091658
1024049.9694978727,2023-06-05,-0.005208787380419411
1025512.1968464407,2023-06-06,0.0014278867165875564
1029309.2945356573,2023-06-07,0.0037026353278810653
1029970.105400331,2023-06-08,0.0006419944599564964
1029742.9976713995,2023-06-09,-0.00022049934045731412
1035447.3473475622,2023-06-12,0.005539585788941759
1044028.0542908759,2023-06-13,0.008286956324041306
1042675.4005914015,2023-06-14,-0.0012956104904605636
1057755.717847755,2023-06-15,0.014463098724492696
1053880.9844691386,2023-06-16,-0.003663164673314623
1042754.0350005412,2023-06-20,-0.010558070249461982
1036789.0225929199,2023-06-21,-0.0057204404945009335
1039479.1861789146,2023-06-22,0.002594706856817286
1031639.8086392226,2023-06-23,-0.007541639740290762
1029533.9841692367,2023-06-26,-0.0020412400261711205
1039335.9534624782,2023-06-27,0.009520782649201198
1037129.5261500279,2023-06-28,-0.002122920221416136
1040855.8033219716,2023-06-29,0.0035928754104379568
1051091.9333374326,2023-06-30,0.009834340148550558
1049219.6988031117,2023-07-03,-0.001781228144693503
1049777.165084064,2023-07-05,0.0005313151112091852
