account_rewards,date
-6404.991818424198,2023-07-06
3090.145209709066,2023-07-07
6483.753699905472,2023-07-10
8698.374153705663,2023-07-11
2527.757807861315,2023-07-12
1655.5546493530273,2023-07-13
-890.9842955323402,2023-07-14
17418.505491876742,2023-07-17
2116.021384489024,2023-07-18
-925.5511869660113,2023-07-19
-1824.11843366432,2023-07-20
6729.048968322808,2023-07-21
2767.060176387662,2023-07-24
-3956.0810356140137,2023-07-25
-8926.8991355896,2023-07-26
10325.084083557129,2023-07-27
4843.732021331787,2023-07-28
-2441.5224609375,2023-07-31
-15132.238788528368,2023-08-01
143.99412405770272,2023-08-02
-7666.38563065324,2023-08-03
6313.522867843509,2023-08-04
-6319.591836082283,2023-08-07
-8062.890142644988,2023-08-08
2548.68456363678,2023-08-09
479.89374394807965,2023-08-10
764.0802257517353,2023-08-11
-6013.247015945381,2023-08-14
-3320.0152176113334,2023-08-15
-11181.546255970025,2023-08-16
256.3082548943348,2023-08-17
2681.203671291354,2023-08-18
-783.8718828544952,2023-08-21
12734.120836585993,2023-08-22
-15584.38764384843,2023-08-23
7101.287667160039,2023-08-24
8069.055192630738,2023-08-25
14709.34557621018,2023-08-28
7490.14241027832,2023-08-29
-1978.6857452392578,2023-08-30
6485.409759521484,2023-08-31
-1324.036605834961,2023-09-01
-13243.201750923181,2023-09-05
-9524.294930572622,2023-09-06
6218.387493133545,2023-09-07
4812.54447555542,2023-09-08
-9779.266353607178,2023-09-11
1904.7263526916504,2023-09-12
12248.65970993042,2023-09-13
-13894.05880355835,2023-09-14
-1685.7177543640137,2023-09-15
67.0447998046875,2023-09-18
-14187.771896362305,2023-09-19
-11587.70959854126,2023-09-20
-3380.948719024658,2023-09-21
2962.161021682783,2023-09-22
-18869.051927864086,2023-09-25
-3927.7306883888086,2023-09-26
486.7197080802871,2023-09-27
740.5495203551836,2023-09-28
6557.054472480784,2023-09-29
-14720.682374656666,2023-10-02
