date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-06-01,1,-2,-100,94,32,-93,100,82,-100,-98,-89,-38,0,-4,73,100,100,0,100,0,-5,-9,77,0,0,96,68,-17,-100
2023-06-02,-1,37,56,-71,100,-98,8,36,77,-11,-65,-69,15,100,90,-73,100,-100,100,0,15,-14,100,25,-70,100,35,-100,-77
2023-06-05,0,-21,0,-23,0,-60,-16,75,100,-25,0,-100,-15,-100,0,0,0,-55,100,100,100,56,-28,-4,0,100,1,-66,-75
2023-06-06,0,93,100,81,60,-97,-5,97,-58,0,0,0,0,0,79,0,-85,-41,-87,0,-100,-46,100,0,0,-100,-100,0,100
2023-06-07,0,100,-100,-81,-100,-13,100,-73,65,66,100,47,50,0,-32,66,67,0,-81,100,-65,-13,-4,-21,-30,-13,18,100,-33
2023-06-08,0,-100,0,0,-25,0,-28,0,0,100,-40,-72,100,0,100,-100,-70,69,0,100,0,0,-100,0,0,0,-22,0,-67
2023-06-09,100,-94,0,0,0,0,-94,100,0,0,-60,-85,32,0,-33,95,0,100,-45,-19,0,-100,-22,0,0,-5,2,0,100
2023-06-12,0,-24,0,0,-46,0,14,92,-100,100,100,-100,0,0,-47,-100,0,-32,0,-64,0,-29,0,0,0,0,-2,92,88
2023-06-13,45,-7,-39,0,-100,100,-63,-95,44,-100,82,59,-100,48,98,100,100,64,-100,-98,-32,0,-86,0,0,32,3,58,100
2023-06-14,12,-100,52,54,-100,100,-58,-100,-100,-100,42,-44,-54,-33,100,-63,86,0,-100,100,41,100,-100,55,0,89,-3,-43,56
2023-06-15,-100,-68,-38,100,100,66,2,10,0,-100,0,0,-28,68,-34,-76,-100,0,81,-54,67,-47,66,0,0,100,0,-100,-52
2023-06-16,-21,-100,14,-62,36,-52,30,55,9,100,44,-3,0,-83,97,100,-80,-27,-100,-37,-100,100,0,47,0,-26,17,-37,57
2023-06-20,-36,25,-32,100,-62,37,12,-100,100,0,100,-33,24,100,-100,-100,-17,100,-56,-100,0,-100,-75,-42,68,-100,25,29,55
2023-06-21,0,0,0,-15,0,100,0,-77,0,-97,100,0,-18,0,0,-20,-100,-100,-12,-28,100,-3,0,1,41,-40,-42,0,-57
2023-06-22,100,62,-71,-36,-100,-21,10,-8,-63,-100,-4,0,100,-100,100,0,51,-66,100,6,12,-50,-100,-48,-100,-62,0,100,100
2023-06-23,-100,-13,0,100,100,-18,22,40,100,-74,100,0,-100,100,0,0,71,-100,68,100,-9,0,100,-13,-9,100,0,-2,61
2023-06-26,0,-100,0,-13,74,0,1,57,92,-64,100,0,0,89,76,100,-57,-8,-9,-26,18,37,45,0,0,0,83,-29,-18
2023-06-27,0,-51,0,100,0,0,0,1,-9,-31,70,0,-6,-81,0,-54,-100,0,-69,0,88,-37,0,0,0,-92,-2,0,-69
2023-06-28,0,0,0,0,-100,-32,0,-47,-100,0,100,100,100,100,-92,100,0,0,-49,-80,-10,1,-67,0,0,23,1,-100,88
2023-06-29,0,0,0,-3,0,-54,100,84,0,0,-100,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,100,100,100,-100
2023-06-30,0,0,0,-100,-100,100,1,-24,-14,0,0,41,1,-100,-1,100,0,0,-17,0,0,0,100,0,0,0,100,-74,-100
2023-07-03,0,100,0,-100,-96,-100,-19,0,72,0,0,-100,0,-21,0,100,0,0,-5,0,-27,-1,100,100,0,100,0,-48,1
